prog_id,session_id,NavigationEvent,ActivityEvent,CompletionEvent,FindEvent,DocumentEvent,SystemEvent,SolutionEvent,BuildEvent,IDEStateEvent,WindowEvent,TestRunEvent,CommandEvent,VersionControlEvent,EditEvent,DebuggerEvent
0,14620d51-4cc0-4d48-997f-294b75eb3708,0,0.005434263,0,0,0,0,0,0,0.003190743,0.009430121,0,0.00310223,0,0,0
0,45d06f62-c6aa-45fa-af11-505cfe0e1930,0,7.58E-05,0,0,0,0.001227862,0.002182207,9.08E-05,9.89E-06,6.74E-05,0,0.009318135,2.39E-04,4.29E-04,0
0,56e25082-e9b2-4b19-9a30-f2c430310084,0,0.004075697,0,0,0,0,0,0,0.003190743,0.005803152,0,0.004825692,0,0.004322188,0
0,16af990a-c435-4af0-a158-a4fdb4fe727e,0,0.004004193,0,0,0,0,0,0,0.002351074,0.010155515,0,0.003301789,0,0,0
0,f4256a24-1cd0-4cd3-8cc7-ae67daf82a2e,0,0.001118819,0,0,0,0,0,0,0.001313835,0.002986916,0,0.007664334,0,0,0
0,e2fbb5df-72af-4bc3-b0fe-6870ada6116a,0,9.38E-04,0,0,0,0.007813351,0,0,3.15E-04,0.002574637,0,0.00798618,0,0,0
0,4400804f-5be9-4b65-a979-56643fcbca2c,0,0.003458167,0,0,0,0,9.76E-04,0,9.02E-04,0.003692915,0,0.006629233,0,0.001222437,0
0,c73ca1be-fa79-4706-8be2-e135877e5586,0,0,0,0,0,0,0,0,0.006381486,0.002901576,0,0.006893845,0,0,0
0,e3b8ed0b-8e7d-4e40-96bf-983b15358831,5.40E-04,3.53E-04,0,0,0.001012276,0,0.0013456,9.52E-04,2.07E-04,4.24E-04,0,0.008845235,0.001250174,0.002246334,0
0,a7003aaa-6443-4d35-95c4-63b82155594d,0,0.001926587,0,0,0.003408522,0.001195577,5.21E-04,0,9.63E-05,0.002516992,0,0.007560944,0,1.30E-04,0
0,309456e3-29dd-498d-b922-ed2d816533e8,0,2.75E-04,0,0,0,0.006675667,0,0,1.08E-04,2.44E-04,0,0.009326187,0,0,0
0,77fa3202-a57a-45a1-9e8a-39d99e25592e,0,5.57E-04,0,0,3.70E-04,0.003061653,0.002810926,8.71E-05,1.90E-05,7.46E-04,0,0.008758154,1.14E-04,2.31E-04,2.38E-04
0,8ae87b46-d67c-40b0-ad92-6733fa163ca7,1.69E-04,1.47E-04,0,0,7.91E-05,8.05E-04,0.003294394,0,2.16E-05,1.52E-04,0,0.007845686,2.60E-04,0.016615925,2.71E-04
0,0fbc69d1-0eef-4c5f-b631-2d3534d3abc3,0,0.008645418,0,0,0,0,0,0,0.004060946,0.0064626,0,0.003509594,0,0,0
0,36b3d5c7-4b1e-44f8-82a9-f3bfc9db91c8,1.12E-04,0.011592832,0,0,0.00167643,0,0.003110541,5.91E-04,2.15E-05,0.001404798,5.63E-04,0.005184953,6.47E-04,0.004446747,2.69E-04
0,604331dd-5086-4344-9ebd-7f464d065131,0,0.00121146,0,0,0,0.007066853,0,0,5.69E-04,0.003751719,0,0.00731538,0,0,0
0,72b10e3f-6d3d-41af-9b62-cf51a3e16ede,0,0,0,0,0,0,0,0,0.012762972,0.005803152,0,0.004136307,0,0,0
0,89bec1cb-7be3-43c5-b719-e526a4c72359,0.002620966,0.002497926,0,0,0.002251031,0.002081606,0.024300738,0,1.68E-04,0.001829136,0,0.005233114,0.001010929,0.001135284,0
0,ac28aa1d-2d66-4244-86e0-cb9a38159244,5.58E-04,4.56E-04,0,0,6.35E-04,0.001518817,0.002944094,0,3.06E-05,5.21E-04,0,0.008871874,0,1.24E-04,0
0,3fd42ab9-a793-4495-9ef1-972d9677fe48,0,1.32E-04,0,0,0.001132243,0.003839086,0.044817624,0,3.09E-04,8.43E-04,0,0.004408244,0.001864446,8.38E-04,0
0,2638423b-322b-4b34-b86d-c372dcb2b287,0,0,0,0,0,0,0,0,0.014890134,0.006770344,0,0.001608564,0,0.020170212,0
0,2dad115f-fada-47c7-88ab-a6dc1dc6231a,0,0.00134357,0,0,9.63E-04,0.002449218,0.002987251,4.53E-04,9.86E-05,0.00163654,0,0.008021514,0,6.68E-04,0
0,7639de18-b8d5-4593-88f5-8d8f4f700719,0.00141969,0.00206178,0.004047376,0,8.13E-04,0,6.55E-05,0.001946463,6.05E-05,9.08E-04,0,0.007480476,3.65E-04,0.009265178,0.011376668
0,14652432-102a-4db7-86b7-4410775fe61e,0,0.004004193,0,0,0,0,0,0,0.004702148,0.001069002,0,0.007111546,0,0,0
0,55b2caec-d1a3-47c9-9e86-e95dcf52ae6b,0,0.003458167,0,0,0,0,0.005858116,0.012437144,0.002707297,0.002461943,0,0.005264391,0,0.011001934,0
0,6127f015-2e67-4db7-aadf-679b0de1ebd6,0.001158967,6.57E-04,0.001054495,0,5.08E-04,5.88E-04,0.001382011,2.17E-04,9.46E-06,4.86E-04,3.72E-04,0.008743692,2.85E-04,0.002204582,0.003319741
0,ad9674e6-a138-43a3-a956-d9401597e7c1,0,0.004961718,0,0,0,0,0,0,0.003884383,0.010597059,0,0.002517752,0,0,0
0,35e7ed21-6c0a-404f-a8da-6cef06dd9b26,0,2.35E-04,0,0,0,0.00684874,0.00119332,0,5.51E-04,0.001253767,0,0.008221549,0,0.005229314,0
0,e39e741e-3ada-4561-a504-c6a4ab3e35ba,0.001867613,0.002847902,0,0,0.006999317,0,0.002584463,0.001097395,2.39E-04,0.005919525,0,0.004412798,0,0.001294345,0.032925417
0,da2fee65-853c-4f77-a0b9-e9a79be9ecd9,0,6.58E-05,0,0,6.92E-04,6.39E-04,0.007799566,0,5.15E-05,3.75E-04,0,0.008577771,3.11E-04,1.40E-04,0
0,86acce83-7bec-4f5b-b98b-2b40e9b0a5d1,6.75E-04,4.63E-04,0,0,3.79E-04,0,0.007732713,0,5.18E-05,2.59E-04,0,0.008554762,3.12E-04,7.02E-05,0
0,a12b7757-6cfd-45dd-9a15-b579faed49d3,0,6.95E-04,0,0,4.98E-04,0,4.41E-04,9.37E-04,2.04E-04,7.88E-04,0,0.006808853,0,0.026248907,0.002555854
0,fb24bef7-e52a-43b6-9fe8-fcffaa527b95,0,0.006558593,0,0,0,0,0,0,0.003080717,0.005603043,0,0.004659288,0,0,0
0,7d3d3b5d-a5e5-4fbf-bd88-ac6d9aad4a26,0,0.004004193,0,0,0,0,0,0,0.004702148,0.008552013,0,0.003555773,0,0,0
0,8e5d4623-0302-4515-91fa-828e13fc4f57,0,0.00466622,0,0,0.008434955,0,0.002062057,0,2.38E-04,0.005145461,0,0.004992982,0,3.23E-04,0
0,0e914c68-e1fb-4dc5-a234-be68791c41f3,0,3.37E-04,0,0,0,7.27E-04,0.008712291,0,1.46E-05,7.32E-05,0,0.008616968,5.30E-04,2.38E-04,0
0,8ef8df90-9a65-4f5a-9727-ae34467db4fa,6.28E-04,0.002153198,0,0,5.88E-04,0.00598111,0.005210723,0.001106269,2.41E-04,0.001423414,0,0.007388121,0.001452358,0.002935826,0
0,a356315d-b7ed-4fa1-bc15-5f02ae20985a,0,0,0,0,0,0,0,0,0.017868161,0.008124412,0,0.001930277,0,0,0
0,f05dbe66-8faa-4dc1-8635-55cb1010dd52,2.58E-04,0.001724285,0,0,0.001331878,4.11E-04,0.004917891,6.07E-04,1.65E-05,0.00177745,0.00108369,0.007460403,0.001096591,0.002955561,0
0,2ee4f668-d538-44f7-8f38-6294108be93c,0,0,0,0,0,0,0,0,0.014890134,0.003385172,0,0.004825692,0,0,0
0,a9fb9a60-beea-45c8-ab3e-2165eb8950fb,0,0.010302456,0,0,0.001136174,0,0,0,4.65E-04,0.004231465,0,0.004825692,0,0,0
0,cf20b71e-d8b8-46c7-af24-cc8f94d44d03,7.76E-05,7.61E-05,0,0,3.64E-04,7.40E-04,0.002899767,0,1.49E-05,1.69E-04,0,0.00920742,0,4.03E-05,0
0,9dcff8fc-0d94-4b1b-b5c2-b8e69b9f68f6,0,0,0,0,0,0,0,0,0.017868161,0.004062206,0,0.003860553,0,0,0
0,a791402b-0d9b-4b82-ad16-d658220c7719,0,0.005071978,0,0,0,0,0,0,0.005956054,0.001354069,0,0.006434256,0,0,0
0,19fe5661-9ecc-48e2-aede-2492f85154bc,0,0.002444075,0,0,0.012398709,0,4.78E-04,0,1.47E-04,0.006257269,0,0.004865442,0,1.99E-04,0
0,ce971ab2-839d-4d4f-8592-80da12e2cbb1,0,0.006464286,0,0,0.003564468,0,0.001895273,0,2.92E-04,0.002522285,0,0.006245013,0,0,0
0,56fde61a-dc60-4ca6-9c9c-3fc1c22fad35,0.005831395,0.001045689,0.025013009,0,5.33E-04,3.39E-04,3.99E-04,7.52E-04,1.36E-05,8.56E-04,0,0.007465525,0,0.006154564,0.010599691
0,c33463ea-8592-45d3-a821-8e194f15bfd1,2.40E-04,3.14E-04,0,0,4.50E-04,3.81E-04,0.009104345,0,1.54E-05,3.28E-04,0,0.008420492,3.70E-04,2.50E-04,0
